name,default_value
"scheduler.http-client.request-buffer-size","4kB"
"scheduler.http-client.request-timeout","10.00s"
"scheduler.http-client.response-buffer-size","16kB"
"scheduler.http-client.http-proxy.secure","false"
"scheduler.http-client.secure-random-algorithm","----"
"scheduler.http-client.selector-count","2"
"scheduler.http-client.socks-proxy","----"
"scheduler.http-client.timeout-concurrency","1"
"scheduler.http-client.timeout-threads","1"
"scheduler.http-client.trust-store-password","[REDACTED]"
"scheduler.http-client.trust-store-path","----"
"scheduler.http-client.https.hostname-verification","true"
"workerInfo.http-client.https.automatic-shared-secret","[REDACTED]"
"workerInfo.http-client.use-blocking-connect","false"
"workerInfo.http-client.connect-timeout","5.00s"
"workerInfo.http-client.http2.enabled","false"
"workerInfo.http-client.http2.session-receive-window-size","16MB"
"workerInfo.http-client.http2.stream-receive-window-size","16MB"
"workerInfo.http-client.http2.input-buffer-size","8kB"
"workerInfo.http-client.http-proxy","----"
"workerInfo.http-client.https.excluded-cipher","[^.*_(MD5|SHA|SHA1)$, ^TLS_RSA_.*$, ^SSL_.*$, ^.*_NULL_.*$, ^.*_anon_.*$]"
"workerInfo.http-client.https.included-cipher","[]"
"workerInfo.http-client.idle-timeout","1.00m"
"workerInfo.http-client.keep-alive-interval","----"
"workerInfo.http-client.key-store-password","[REDACTED]"
"workerInfo.http-client.key-store-path","----"
"workerInfo.http-client.log.buffer-size","1MB"
"workerInfo.http-client.log.compression.enabled","true"
"workerInfo.http-client.log.enabled","false"
"workerInfo.http-client.log.flush-interval","10.00s"
"workerInfo.http-client.log.max-history","15"
"workerInfo.http-client.log.max-size","1GB"
"workerInfo.http-client.log.path","var/log/"
"workerInfo.http-client.log.queue-size","10000"
"workerInfo.http-client.max-connections","200"
"workerInfo.http-client.max-connections-per-server","20"
"workerInfo.http-client.max-content-length","16MB"
"workerInfo.http-client.max-requests-queued-per-destination","1024"
"workerInfo.http-client.max-threads","200"
"workerInfo.http-client.min-threads","8"
"workerInfo.http-client.record-request-complete","true"
"workerInfo.http-client.request-buffer-size","4kB"
"workerInfo.http-client.request-timeout","5.00m"
"workerInfo.http-client.response-buffer-size","16kB"
"workerInfo.http-client.http-proxy.secure","false"
"workerInfo.http-client.secure-random-algorithm","----"
"workerInfo.http-client.selector-count","2"
"workerInfo.http-client.socks-proxy","----"
"workerInfo.http-client.timeout-concurrency","1"
"workerInfo.http-client.timeout-threads","1"
"workerInfo.http-client.trust-store-password","[REDACTED]"
"workerInfo.http-client.trust-store-path","----"
"workerInfo.http-client.https.hostname-verification","true"
"http-server.admin.enabled","false"
"http-server.admin.threads.max","200"
"http-server.admin.threads.min","2"
"http-server.admin.port","0"
"http-server.http2.session-receive-window-size","16MB"
"http-server.http2.stream-receive-window-size","16MB"
"http-server.http2.input-buffer-size","8kB"
"http-server.http2.max-concurrent-streams","16384"
"http-server.http2.stream-idle-timeout","15.00s"
"http-server.accept-queue-size","8000"
"http-server.http.acceptor-threads","----"
"http-server.http.enabled","true"
"http-server.http.port","8080"
"http-server.http.selector-threads","----"
"http-server.https.acceptor-threads","----"
"http-server.https.enabled","false"
"http-server.https.selector-threads","----"
"http-server.log.compression.enabled","true"
"http-server.log.enabled","true"
"http-server.log.max-history","15"
"http-server.log.max-size","100MB"
"http-server.log.path","var/log/http-request.log"
"http-server.log.queue-size","10000"
"http-server.max-request-header-size","2MB"
"http-server.max-response-header-size","2MB"
"http-server.threads.max","200"
"http-server.threads.min","2"
"http-server.net.max-idle-time","200.00s"
"http-server.process-forwarded","false"
"http-server.show-stack-trace","true"
"http-server.threads.max-idle-time","1.00m"
"http-server.auth.users-file","----"
"jmx.rmiregistry.port","----"
"jmx.rmiserver.port","----"
"node.binary-spec","----"
"node.config-spec","----"
"node.environment","----"
"node.internal-address-source","IP"
"node.location","----"
"node.bind-ip","----"
"node.external-address","----"
"node.id","----"
"node.internal-address","----"
"node.pool","general"
